0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-0.23167308,-1.1340544,-2.056587,-0.72212136,-0.4085649,-0.77109146,-0.74704486,-1.0275737,-1.1709359,-0.9413666,-1.1949186,-0.2815837,-1.9795395,-0.8237756,-0.52631414,-0.72937423,-1.7280741,-1.3248892,-1.6665335,-0.699058,-1.6395636,-1.9268179,-2.145809,-1.2508198
-0.21185163,-1.0784628,-1.970692,-0.6621414,-0.38545415,-0.717639,-0.70518434,-0.9936258,-1.1168681,-0.9029221,-1.1155081,-0.2498458,-1.8991557,-0.7887242,-0.47165406,-0.6820563,-1.6477331,-1.2474176,-1.6152306,-0.65410197,-1.5725452,-1.8486878,-2.0515888,-1.2034993
-0.21398433,-1.0525345,-1.9010082,-0.6416587,-0.37890348,-0.6803684,-0.6901536,-0.96352077,-1.0962948,-0.86013144,-1.0591024,-0.24197404,-1.8254843,-0.752909,-0.45068872,-0.66624385,-1.5834538,-1.2035888,-1.5583007,-0.6205965,-1.5066373,-1.7655416,-1.9752336,-1.1704054
-0.26289806,-1.1816117,-2.1093726,-0.7220406,-0.45507663,-0.77300006,-0.77863705,-1.088529,-1.2341914,-0.9896797,-1.1740397,-0.29206625,-2.0168936,-0.86448205,-0.5180331,-0.7813673,-1.7468406,-1.3399363,-1.7457864,-0.7219018,-1.6865833,-1.9652507,-2.1984441,-1.3032409
-0.21329336,-1.1035011,-2.0087895,-0.6996634,-0.38507453,-0.7471955,-0.72153896,-0.9911224,-1.135816,-0.9019419,-1.1668869,-0.2640236,-1.9332348,-0.79116434,-0.50341225,-0.7015459,-1.6912539,-1.295404,-1.623694,-0.6661479,-1.6019274,-1.8802321,-2.0918958,-1.2124616
-0.22837386,-1.1176565,-2.047478,-0.7004923,-0.41160518,-0.7600089,-0.7353589,-1.0343353,-1.1594629,-0.9552685,-1.177759,-0.27442637,-1.9735174,-0.8351855,-0.5085069,-0.72385335,-1.7151092,-1.3017641,-1.6755773,-0.7033888,-1.6394805,-1.9285897,-2.136761,-1.2491418
-0.16784556,-0.9241212,-1.6888261,-0.53819513,-0.3135534,-0.5780932,-0.59058785,-0.84791017,-0.96281236,-0.749151,-0.929902,-0.19021966,-1.6256214,-0.64897203,-0.37122285,-0.5652623,-1.4086097,-1.053552,-1.396463,-0.5244427,-1.3428991,-1.5743377,-1.7514801,-1.0381597
-0.22405843,-1.148751,-2.0921402,-0.7276031,-0.4091604,-0.78200394,-0.7515901,-1.0318749,-1.187418,-0.9501477,-1.216519,-0.28012004,-2.0079072,-0.8300058,-0.52603096,-0.74664,-1.7603819,-1.3554274,-1.7054644,-0.6989744,-1.6849037,-1.9677345,-2.1835818,-1.2575067
-0.22577013,-1.0970935,-1.9774804,-0.6556207,-0.4036265,-0.7018722,-0.72291785,-1.016526,-1.1475207,-0.8992943,-1.082955,-0.25179365,-1.8959929,-0.7879972,-0.45991468,-0.6985587,-1.6353161,-1.2433767,-1.6339451,-0.64329326,-1.5666964,-1.8319824,-2.0507805,-1.2235963
-0.17022611,-0.94446987,-1.7577904,-0.57663816,-0.31202883,-0.6211456,-0.58175236,-0.86719114,-0.98833257,-0.8031175,-1.0068235,-0.20304744,-1.7078731,-0.7049325,-0.4024511,-0.5871548,-1.4813696,-1.0955225,-1.4223828,-0.59372306,-1.4014338,-1.6663827,-1.8288,-1.0558183
-0.22099292,-1.0848644,-1.9885299,-0.6886722,-0.38931078,-0.7374645,-0.71166694,-1.0003335,-1.1269448,-0.9182786,-1.1491288,-0.26382324,-1.9207885,-0.8095082,-0.49897608,-0.6921402,-1.6666193,-1.2630147,-1.6070075,-0.68539107,-1.5825032,-1.8685578,-2.0719569,-1.2111366
-0.20618512,-1.0492657,-1.9062643,-0.60818005,-0.3865784,-0.6687262,-0.6753541,-0.9667341,-1.0984529,-0.87060267,-1.048607,-0.23197974,-1.8199449,-0.7608744,-0.42475605,-0.68477833,-1.5807972,-1.2017354,-1.603274,-0.61370635,-1.5435172,-1.7851527,-1.9852748,-1.172671
-0.2606992,-1.2435533,-2.2331524,-0.786257,-0.46965304,-0.8458083,-0.840109,-1.1228945,-1.2793857,-1.0168159,-1.2801739,-0.3170225,-2.1318805,-0.89599776,-0.5741549,-0.81985414,-1.8639562,-1.4514774,-1.83376,-0.74309266,-1.7931188,-2.0795522,-2.329447,-1.3658704
-0.21102858,-1.042655,-1.8857396,-0.6113562,-0.38723612,-0.65810126,-0.67406565,-0.96433413,-1.0885682,-0.86992747,-1.0278087,-0.23485295,-1.8034596,-0.75398993,-0.42649183,-0.6791627,-1.5584601,-1.1845899,-1.5762963,-0.61015826,-1.5105398,-1.7582949,-1.9607687,-1.163011
-0.26291382,-1.3348914,-2.4687102,-0.9298609,-0.47235852,-0.98942167,-0.89945567,-1.1994091,-1.3512746,-1.1481605,-1.5150468,-0.3652639,-2.3937263,-1.0137191,-0.69818705,-0.8569328,-2.1016169,-1.6189775,-1.9329194,-0.8837907,-1.9710746,-2.3459713,-2.5836957,-1.4663159
